epoch,d_loss,g_loss
1,0.578209,8.366677
2,0.475534,6.614119
3,0.687394,4.966059
4,0.685189,5.084224
5,0.686087,4.599047
6,0.659071,5.211334
7,0.644162,5.009898
8,0.596694,4.91033
9,0.684006,4.535503
10,0.694743,4.705687
11,0.659035,4.591052
12,0.620346,4.724748
13,0.65437,4.609029
14,0.654644,4.518049
15,0.651515,4.531993
16,0.584142,4.438778
17,0.679335,4.611501
18,0.636017,4.280275
19,0.732991,4.446866
20,0.726082,4.216453
21,0.68373,4.163654
22,0.63501,4.254019
23,0.657693,4.297559
24,0.622455,4.451433
25,0.564777,4.320559
26,0.650822,4.562513
27,0.555014,4.329921
28,0.594694,4.569717
29,0.575864,4.305566
30,0.587725,4.644738
31,0.539405,4.331342
32,0.666638,4.531375
33,0.585729,4.44765
